rating;lat;lon;commune
4.5;-33.42794413;-70.60453922;Providencia
4;-33.44306808;-70.66305775;Santiago
4;-33.440049;-70.65522;Santiago
4.5;-33.40261237;-70.56971378;Las Condes
4;-33.43243397;-70.60611539;Providencia
4.5;-33.43722;-70.65002;Santiago
4.5;-33.40296599;-70.58431168;Vitacura
4.5;-33.42657871;-70.61966254;Providencia
4;-33.42401372;-70.61073165;Providencia
4.5;-33.42794413;-70.60453922;Providencia
4.5;-33.42103592;-70.60341098;Providencia
4.5;-33.44069003;-70.64118007;Santiago
4.5;-33.40314946;-70.59536243;Vitacura
4;-33.44220357;-70.66578321;Santiago
4.5;-33.43960126;-70.63457257;Santiago
4.5;-33.42900927;-70.61862248;Providencia
4.5;-33.39995843;-70.58724921;Vitacura
4.5;-33.40741582;-70.57122692;Las Condes
4;-33.43899358;-70.64465054;Santiago
4.5;-33.41976271;-70.59749575;Las Condes
4.5;-33.41559412;-70.60144411;Las Condes
4;-33.41167735;-70.60278147;Las Condes
4.5;-33.43206269;-70.63551166;Providencia
4;-33.418341;-70.6028715;Providencia
4;-33.42019119;-70.60986293;Providencia
5;-33.43899358;-70.64465054;Santiago
4.5;-33.42199061;-70.60132878;Providencia
4.5;-33.43919122;-70.64167006;Santiago
4.5;-33.43256064;-70.61682135;Providencia
4.5;-33.42794413;-70.60453922;Providencia
4;-33.42579982;-70.57736185;Las Condes
4.5;-33.41579496;-70.6041394;Las Condes
4.5;-33.44327301;-70.64765809;Santiago
4.5;-33.41501809;-70.60203986;Las Condes
4.5;-33.44223163;-70.66605321;Santiago
4.5;-33.39978567;-70.57497987;Las Condes
4.5;-33.40432157;-70.58346939;Las Condes
4.5;-33.4238569;-70.61461192;Providencia
4.5;-33.4036557;-70.58574335;Vitacura
4.5;-33.39978567;-70.57497987;Las Condes
4.5;-33.4068034;-70.59914939;Vitacura
4;-33.42285572;-70.6140912;Providencia
4.5;-33.40296599;-70.58431168;Vitacura
4.5;-33.41682368;-70.60111285;Las Condes
4;-33.41426362;-70.59851464;Las Condes
4.5;-33.39950201;-70.5742441;Las Condes
4.5;-33.43425331;-70.633377;Providencia
4.5;-33.43462703;-70.63555709;Providencia
4.5;-33.43723548;-70.638619;Santiago
4.5;-33.41633879;-70.59877739;Las Condes
4.5;-33.4389013;-70.62756736;Providencia
4;-33.41638317;-70.60208196;Las Condes
4;-33.39941762;-70.58791031;Vitacura
4.5;-33.43717771;-70.63685866;Santiago
4.5;-33.44260197;-70.65833475;Santiago
4.5;-33.41603396;-70.59542739;Las Condes
4.5;-33.42574629;-70.61923484;Providencia
4.5;-33.43258961;-70.66243242;Santiago
4;-33.41901799;-70.59648038;Las Condes
4;-33.42294817;-70.60997839;Providencia
4.5;-33.42794413;-70.60453922;Providencia
5;-33.39800343;-70.5854608;Vitacura
4.5;-33.43694966;-70.6366721;Santiago
4.5;-33.40296599;-70.58431168;Vitacura
4.5;-33.41669648;-70.60468735;Las Condes
4.5;-33.43709471;-70.6449388;Santiago
4.5;-33.43211711;-70.63465092;Providencia
4.5;-33.4377356;-70.64098183;Santiago
4.5;-33.43737906;-70.64499468;Santiago
4.5;-33.39978567;-70.57497987;Las Condes
4;-33.4192121;-70.59762888;Las Condes
4.5;-33.40641004;-70.57623691;Las Condes
5;-33.44766905;-70.6292806;Providencia
4.5;-33.41575268;-70.59426129;Las Condes
5;-33.4428927;-70.62903149;Providencia
4;-33.42196857;-70.60981732;Providencia
4.5;-33.43562244;-70.64474513;Santiago
4;-33.43291019;-70.64433278;Recoleta
5;-33.43904889;-70.62936519;Providencia
4.5;-33.39948582;-70.57420205;Las Condes
4.5;-33.43689007;-70.63725992;Santiago
4.5;-33.43694712;-70.63627315;Santiago
4.5;-33.43783039;-70.641114;Santiago
4.5;-33.42290567;-70.6121682;Providencia
4.5;-33.40981638;-70.57114816;Las Condes
4.5;-33.40310002;-70.58467168;Vitacura
4;-33.44509112;-70.6492566;Santiago
4.5;-33.42379513;-70.61235924;Providencia
4.5;-33.39978567;-70.57497987;Las Condes
4.5;-33.43656659;-70.64104838;Santiago
4;-33.43536015;-70.64735368;Santiago
4.5;-33.43898458;-70.64455243;Santiago
4.5;-33.42715586;-70.61925156;Providencia
4;-33.44031748;-70.65821264;Santiago
4.5;-33.41579496;-70.6041394;Las Condes
4;-33.40789604;-70.56849229;Las Condes
4;-33.43546349;-70.62831852;Providencia
4;-33.4417451;-70.64782475;Santiago
4.5;-33.42878582;-70.6021433;Providencia
4;-33.43457842;-70.62060821;Providencia
4;-33.44031723;-70.65820987;Santiago
5;-33.43449943;-70.63387195;Providencia
4.5;-33.43929022;-70.64189956;Santiago
4;-33.42505717;-70.61181773;Providencia
4;-33.42294817;-70.60997839;Providencia
4;-33.43340781;-70.64298872;Recoleta
4;-33.43402303;-70.64898379;Santiago
4;-33.43162996;-70.62782004;Providencia
4;-33.44445382;-70.64839424;Santiago
4;-33.41709797;-70.61063813;Providencia
4.5;-33.42294817;-70.60997839;Providencia
4;-33.42395556;-70.61026351;Providencia
4;-33.42501029;-70.6097886;Providencia
4;-33.41284435;-70.60316798;Las Condes
4.5;-33.41232241;-70.56627307;Las Condes
4.5;-33.43154316;-70.62083674;Providencia
4;-33.42038801;-70.61114175;Providencia
4;-33.42464208;-70.60870079;Providencia
4.5;-33.42794413;-70.60453922;Providencia
4;-33.42930547;-70.62112405;Providencia
3.5;-33.43722;-70.65002;Santiago
4.5;-33.44433631;-70.67137712;Santiago
4.5;-33.40296599;-70.58431168;Vitacura
4;-33.42367442;-70.60915992;Providencia
4;-33.44048717;-70.64654464;Santiago
4;-33.437718;-70.6433805;Santiago
4;-33.43119241;-70.63716389;Recoleta
4.5;-33.43888608;-70.63392503;Providencia
4;-33.43703777;-70.64775447;Santiago
4.5;-33.43820931;-70.66699886;Santiago
3.5;-33.44467179;-70.64934071;Santiago
4;-33.43899358;-70.64465054;Santiago
4;-33.43098248;-70.63811799;Recoleta
4.5;-33.41232241;-70.56627307;Las Condes
4;-33.4249948;-70.61633985;Providencia
4;-33.42464208;-70.60870079;Providencia
3.5;-33.43887206;-70.63473935;Providencia
4;-33.42082425;-70.60293866;Providencia
4;-33.41616129;-70.60059644;Las Condes
4.5;-33.40060504;-70.58706689;Vitacura
4;-33.4282949;-70.61909919;Providencia
5;-33.43095248;-70.6311792;Providencia
4;-33.433461;-70.642449;Recoleta
3.5;-33.42524617;-70.61174768;Providencia
4;-33.42353734;-70.60071767;Providencia
4.5;-33.4449795;-70.62720765;Providencia
4;-33.42038801;-70.61114175;Providencia
4;-33.43704263;-70.64336557;Santiago
