"name","rating","reviews","pageurl","prices_tour","direction","lat","lon","espanol","portugues","ingles","frances","aleman","italiano","chino","holanda","ruso","japones","type_of_things","process_date"
"Cerro San Cristóbal","4,5","17.921 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d314481-Reviews-Cerro_San_Cristobal-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $31.769 ,desde $17.690 ,desde $34.657 ","Pio Nono 450, Santiago","-33.430725766679394","-70.63629061587967","7297","9012","2535","143","107","91","68","44","40","24","Naturaleza y parques, Atracciones y lugares de interés, Miradores, Montañas Más","2019-10-12"
"Sky Costanera","4,5","14.589 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d8594663-Reviews-Sky_Costanera-Santiago_Santiago_Metropolitan_Region.html","desde $15.162 ,desde $22.144 ,desde $72.202 ,desde $52.708 ","Avenida Andres Bello 2425, Santiago","-33.416402508734805","-70.6070232183702","6185","7532","1280","58","71","71","74","15","18","8","Atracciones y lugares de interés, Miradores, Torres y observatorios","2019-10-12"
"Cerro Santa Lucía","4,5","19.258 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d314522-Reviews-Cerro_Santa_Lucia-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $31.769 ,desde $17.690 ,desde $12.996 ","Rua Santa Lucía, Santiago","-33.44056999999998","-70.64804999999996","6253","12065","1682","106","86","83","42","16","43","35","Naturaleza y parques, Atracciones y lugares de interés, Parques, Monumentos y lugares de interés Más","2019-10-12"
"Casa Museo La Chascona","4,5","9.317 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d314525-Reviews-Casa_Museo_La_Chascona-Santiago_Santiago_Metropolitan_Region.html","desde $10.108 ,desde $22.144 ,desde $29.603 ,desde $24.549 ","Fernando Márquez de la Plata 0192, Santiago","-33.43119579739165","-70.63453850291418","3624","5093","1023","124","31","139","77","8","10","2","Museos, Museos especializados","2019-10-12"
"Barrio Lastarria","4,5","8.038 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d640283-Reviews-Barrio_Lastarria-Santiago_Santiago_Metropolitan_Region.html","desde $36.101 ,desde $22.217 ,desde $54.152 ,desde $28.520 ","José Victorino Lastarria, Santiago","-33.43881339663521","-70.64115089745923","4734","2915","858","41","22","49","4","1","6","5","Atracciones y lugares de interés, Otros, barrios","2019-10-12"
"Parque Bicentenario","4,5","4.218 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d3236426-Reviews-Parque_Bicentenario-Santiago_Santiago_Metropolitan_Region.html","desde $34.657 ,desde $22.144 ,desde $22.217 ,desde $24.549 ","Avenida Del Bicentenario 3800, Santiago","-33.39917042408681","-70.60107427869441","2472","1595","304","13","6","14","NA","3","6","2","Naturaleza y parques, Parques","2019-10-12"
"Parque Araucano","4,5","7.178 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d3836868-Reviews-Parque_Araucano-Santiago_Santiago_Metropolitan_Region.html","desde $4.982 ,desde $22.144 ,desde $21.588 ,desde $15.162 ","Avenida Presidente Riesco 5330, Santiago","-33.40529436565618","-70.57752863434382","3920","3113","355","12","10","16","28","5","5","4","Naturaleza y parques, Parques","2019-10-12"
"Patio Bellavista","4,5","21.631 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d4005186-Reviews-Patio_Bellavista-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $71.480 ,desde $198.484 ,desde $101.083 ","Bellavista, Santiago","-33.43259999999998","-70.63319999999999","7257","13680","1366","94","40","83","62","21","13","6","Atracciones y lugares de interés, Monumentos y lugares de interés","2019-10-12"
"Teleférico Santiago","4,5","1.908 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d11859949-Reviews-Teleferico_Santiago-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $21.588 ,desde $15.162 ,desde $32.491 ","El Cerro 750, Santiago","-33.41548464228794","-70.61724646415617","759","925","206","19","10","10","NA","2","1","1","Transporte, Tranvías","2019-10-12"
"Cousino Macul","4,5","1.326 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d2212241-Reviews-Vina_Cousino_Macul-Santiago_Santiago_Metropolitan_Region.html","desde $15.884 ,desde $57.690 ,desde $91.458 ,desde $108.303 ","Av. Quilin 7100, Santiago","-33.498625491245875","-70.56241034072302","354","825","209","13","4","4","NA","1","1","1","Comida y bebida, Bodegas y viñedos","2019-10-12"
"Museo Chileno de Arte Precolombino","4,5","4.783 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d1007866-Reviews-Museo_Chileno_de_Arte_Precolombino-Santiago_Santiago_Metropolitan_Region.html","desde $10.108 ,desde $22.144 ,desde $24.549 ,desde $60.650 ","Bandera 361, Santiago","-33.43866039133823","-70.65244623630923","1418","2807","972","90","22","66","16","14","12","7","Museos, Museos de historia, Museos de arte","2019-10-12"
"Museo Interactivo Mirador","4,5","2.128 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d592895-Reviews-Museo_Interactivo_Mirador-Santiago_Santiago_Metropolitan_Region.html","desde $4.513 ,desde $21.588 ,desde $15.162 ,desde $22.144 ","Punta Arenas 6711, Santiago","-53.15665999999993","-70.90793999999994","1140","944","101","4","NA","5","NA","NA","4","1","Museos, Museos especializados","2019-10-12"
"Museo de la Memoria y los Derechos Humanos","4,5","6.074 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d1886318-Reviews-Museo_de_la_Memoria_y_los_Derechos_Humanos-Santiago_Santiago_Metropolitan_Region.html","desde $28.881 ,desde $57.762 ,desde $64.982 ,desde $69.805 ","Matucana 501, Santiago","-33.44037920902763","-70.67984853808078","3069","2433","1455","88","32","55","NA","16","6","3","Museos, Museos especializados, Museos de historia","2019-10-12"
"Templo Bahá'í","4,5","574 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d12000729-Reviews-Templo_Baha_i-Santiago_Santiago_Metropolitan_Region.html","desde $88.087 ,desde $61.372 ,desde $54.152 ","Diagonal Las Torres 2,000 Peñalolen, Santiago","-33.466725","-70.53063524999999","370","153","46","4","2","2","NA","NA","NA","NA","Atracciones y lugares de interés, Lugares religiosos y sagrados","2019-10-12"
"Catedral Metropolitana","4,5","10.197 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d314520-Reviews-Metropolitan_Cathedral_Catedral_Metropolitana-Santiago_Santiago_Metropolitan_Regio.html","desde $22.144 ,desde $31.769 ,desde $17.690 ,desde $12.996 ","Plaza de Armas, Santiago","-33.43851999999998","-70.65122999999994","3167","6466","986","64","41","58","NA","16","25","29","Atracciones y lugares de interés, Edificios con valor arquitectónico","2019-10-12"
"Parque Arauco","4,5","3.702 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d2491922-Reviews-Parque_Arauco-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $56.318 ","Avenida Presidente Kennedy 5413, Santiago","-33.401984775944534","-70.58031541712118","1858","1755","173","7","6","9","18","4","2","4","Compras, Centros comerciales","2019-10-12"
"Bellavista","4,5","6.985 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d314523-Reviews-Barrio_Bellavista-Santiago_Santiago_Metropolitan_Region.html","desde $22.144 ,desde $12.996 ,desde $31.769 ,desde $22.217 ","NA","-22.138976121999974","17.22149898400005","2969","3630","922","67","41","7","21","15","16","4","Atracciones y lugares de interés, Otros, barrios","2019-10-12"
"Fantasilandia","4,0","1.163 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d3216681-Reviews-Fantasilandia-Santiago_Santiago_Metropolitan_Region.html","desde $144.404 ,desde $4.982 ,desde $15.162 ,desde $21.588 ","Beaucheff Nº 938, Santiago","-33.45867982788427","-70.6638993083518","885","248","50","5","4","2","NA","1","3","NA","Parques acuáticos y de diversiones, Parques temáticos","2019-10-12"
"Costanera Center","4,5","14.342 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d3228943-Reviews-Costanera_Center-Santiago_Santiago_Metropolitan_Region.html","desde $66.426 ,desde $79.422 ,desde $34.657 ,desde $36.101 ","Avenida Andrés Bello 2425, Santiago","-33.416402508734805","-70.6070232183702","7720","6248","756","26","23","50","36","6","7","7","Compras, Centros comerciales","2019-10-12"
"La Moneda","4,5","7.720 opiniones","https://www.tripadvisor.cl/Attraction_Review-g294305-d318159-Reviews-La_Moneda-Santiago_Santiago_Metropolitan_Region.html","desde $17.690 ,desde $22.144 ,desde $12.996 ,desde $31.769 ","Moneda S/N, Santiago","-33.444174380258914","-70.67008770724436","2347","5045","450","47","20","60","NA","5","18","21","Atracciones y lugares de interés, Edificios gubernamentales","2019-10-12"
