"pageurl","reviews_count","cusines","restaurant_rating","restaurant_cost","address","lat","lon","process_date"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3747156-Reviews-Plaza_Victoria-Santiago_Santiago_Metropolitan_Region.html","103 opiniones","$$ - $$$","4,0 ","Almuerzo, Cena","Santa Isabel 052, Santiago","-33.44723573659768","-70.6312038769115","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d12997092-Reviews-Gracia_Tapas_Bar-Santiago_Santiago_Metropolitan_Region.html","66 opiniones","Española, Bar$$ - $$$","4,0 ","$3.870 - $23.994","Isidora Goyenechea 3000, Santiago","-33.414263615558006","-70.59851463613022","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d14012119-Reviews-La_Cabrera-Santiago_Santiago_Metropolitan_Region.html","1.071 opiniones","Argentina, Churrasquería$$$$Menú","4,5 ","$15.479.876 - $46.439.628","Alonso de Córdova 4263, Santiago","-33.40337792812618","-70.58851735873388","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d12950301-Reviews-Lorenza_Bistro-Santiago_Santiago_Metropolitan_Region.html","1.824 opiniones","Churrasquería, Mariscos$$ - $$$Menú","4,5 ","$4.644 - $30.186","Alonso de Córdova 3854, Santiago","-33.40243610462239","-70.59200216680135","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d2410245-Reviews-Latin_Grill-Santiago_Santiago_Metropolitan_Region.html","1.038 opiniones","Mariscos, Chilena$$$$Menú","4,5 ","Mariscos, Chilena, Sudamericana, Latina, Internacional","Av. Presidente Kennedy 5741, Santiago","-33.39950201129669","-70.57424410275746","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d7755054-Reviews-Rishtedar-Santiago_Santiago_Metropolitan_Region.html","724 opiniones","De la India, Internacional$$ - $$$","4,5 ","De la India, Internacional","Vitacura 5461, Santiago","-33.39485085235724","-70.57913163307181","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d777610-Reviews-Zanzibar-Santiago_Santiago_Metropolitan_Region.html","1.339 opiniones","Marroquí, Mediterránea$$$$Menú","4,5 ","$23.220 - $38.700","San J.M. Escrivá de Balaguer 6400, Santiago","-33.38190903191186","-70.57974864002536","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d10761466-Reviews-Flannery_s_Beer_House-Santiago_Santiago_Metropolitan_Region.html","314 opiniones","Irlandesa, Pub$$ - $$$Menú","4,5 ","Irlandesa, Pub, Bar","Tobalaba 379, Santiago","-33.42042502859364","-70.59864952498697","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d1735271-Reviews-Le_Bistrot_de_Gaetan-Santiago_Santiago_Metropolitan_Region.html","2.439 opiniones","Francesa, Europea$$ - $$$Menú","4,5 ","$11.610 - $38.700","Santa Magdalena 80, Santiago","-33.42068180627845","-70.60959658410749","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d15184025-Reviews-Krossbar_Borderio-Santiago_Santiago_Metropolitan_Region.html","278 opiniones","Bar, Pub$$ - $$$","4,5 ","$3.870 - $11.610","San Josemaría Escrivá de Balaguer 6400, Santiago","-33.38190903191186","-70.57974864002536","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d799339-Reviews-Senso-Santiago_Santiago_Metropolitan_Region.html","614 opiniones","$$$$Menú","4,5 ","$13.932 - $38.700","Avenida Presidente Kennedy 4601, Santiago","-33.40432156921942","-70.58346938894366","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d8494943-Reviews-Martuca-Santiago_Santiago_Metropolitan_Region.html","164 opiniones","Comida rápida, Chilena$$ - $$$Menú","4,5 ","Comida rápida, Chilena, Cervecería, Fuente de soda","Manuel Mont, 282, Santiago","-33.43102866388715","-70.61883393851355","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d15247797-Reviews-Le_Bistrot_Viet-Santiago_Santiago_Metropolitan_Region.html","213 opiniones","Vietnamita$$ - $$$Menú","4,5 ","$6.191.950 - $15.479.876","Padre Luis De Valdivia 333, Santiago","-33.43907734693601","-70.64152397202128","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d10021953-Reviews-Uncle_Fletch_Plaza_Nunoa-Santiago_Santiago_Metropolitan_Region.html","919 opiniones","Estadounidense, Bar$$ - $$$Menú","4,5 ","$6.966 - $14.706","Jorge Washington 111, Santiago","-33.45416158673322","-70.59404657686548","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d6638542-Reviews-Castillo_Forestal-Santiago_Santiago_Metropolitan_Region.html","2.930 opiniones","Francesa, Internacional$$ - $$$Menú","4,5 ","$4.644 - $24.768","Av. Cardenal Jose María Caro 390, Santiago","-33.434313821226674","-70.64438333131898","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d15248197-Reviews-Polvo-Santiago_Santiago_Metropolitan_Region.html","218 opiniones","Bar de vinos, Chilena$$ - $$$Menú","4,5 ","Bar de vinos, Chilena, Mediterránea","Constitucion 187, Santiago","-33.43223941993188","-70.63475298958399","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d7161213-Reviews-Chipe_Libre_Republica_Independiente_del_Pisco-Santiago_Santiago_Metropolitan_Regi.html","2.993 opiniones","Peruana, Latina$$ - $$$Menú","4,5 ","Peruana, Latina, Bar, Mariscos, Chilena","Jose Victorino Lastarria 282, Santiago","-33.438336904524206","-70.64115224049281","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d7312299-Reviews-The_Singular_Restaurant-Santiago_Santiago_Metropolitan_Region.html","616 opiniones","Europea, Internacional$$$$Menú","4,5 ","$23.220 - $54.180","Merced 294, Santiago","-33.43701176694865","-70.64077415176098","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d2311987-Reviews-Jewel_of_India-Santiago_Santiago_Metropolitan_Region.html","2.363 opiniones","De la India$$$$Menú","4,5 ","De la India","Av. Manuel Montt 1007, Santiago","-33.437307394396655","-70.61605124966808","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3838800-Reviews-Bar_Pizzeria_Domani-Santiago_Santiago_Metropolitan_Region.html","340 opiniones","Italiana, Bar$$ - $$$Menú","4,5 ","Italiana, Bar, Pizzería, Europea, Pub","Granaderos 1328, Santiago","-33.431066004991656","-70.61836185651217","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d10503885-Reviews-Krossbar-Santiago_Santiago_Metropolitan_Region.html","677 opiniones","Estadounidense, Chilena$$ - $$$Menú","4,5 ","$3.870 - $11.610","Dardignac 127, Santiago","-33.43318027061567","-70.634414341797","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d6529842-Reviews-La_Fabbrica-Santiago_Santiago_Metropolitan_Region.html","1.590 opiniones","Italiana, Pizzería$$ - $$$Menú","4,5 ","$3.870 - $11.610","Avenida Ossa 123, Santiago","-33.53823156821625","-70.66639343493406","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3843350-Reviews-Peumayen_Ancestral_Food-Santiago_Santiago_Metropolitan_Region.html","2.713 opiniones","Chilena, Contemporánea$$$$Menú","4,5 ","$14.706 - $29.412","Constitucion 136 Barrio Bellavista, Santiago","-33.43279958895492","-70.63485049001669","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d12701486-Reviews-Verde_Sazon-Santiago_Santiago_Metropolitan_Region.html","129 opiniones","Fusión$$ - $$$","4,5 ","$6.192 - $14.706","Avenida Italia 857, Santiago","-33.442726903139224","-70.62618016293486","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d6131405-Reviews-Naoki-Santiago_Santiago_Metropolitan_Region.html","1.112 opiniones","Japonesa, Sushi$$$$","4,5 ","Japonesa, Sushi, Asiática","Avenida Vitacura 3875, Santiago","-33.40055499068365","-70.5924682674482","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d8755441-Reviews-Rooftop_Bar_The_Singular-Santiago_Santiago_Metropolitan_Region.html","198 opiniones","Bar$$$$Menú","4,5 ","Bar","Merced 294, Santiago","-33.43701176694865","-70.64077415176098","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d2410244-Reviews-Cafe_Med-Santiago_Santiago_Metropolitan_Region.html","274 opiniones","Mediterránea$$ - $$$","4,5 ","Mediterránea","Av Presidente Kennedy 5741, Santiago","-33.39950201129669","-70.57424410275746","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3547430-Reviews-Carrer_Nou-Santiago_Santiago_Metropolitan_Region.html","687 opiniones","Mediterránea, Europea$$ - $$$","4,5 ","Mediterránea, Europea, Española, Catalana","José Miguel Claro 1802, Santiago","-33.44552432139766","-70.6169868852214","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d7291241-Reviews-Ramblas_Bar_Restaurante-Santiago_Santiago_Metropolitan_Region.html","267 opiniones","Bar, Pub$$ - $$$Menú","4,5 ","$5.418 - $10.062","Av. Manuel Montt 370, Santiago","-33.43167594087947","-70.61841510323741","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d1493782-Reviews-Oporto_Steak_Bar-Santiago_Santiago_Metropolitan_Region.html","692 opiniones","Parrilla$$$$","4,5 ","Parrilla","Avenida Isidora Goyenechea 3477, Santiago","-33.414390130887085","-70.59457930730511","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d5292694-Reviews-Uncle_Fletch-Santiago_Santiago_Metropolitan_Region.html","2.489 opiniones","Estadounidense, Bar$$ - $$$Menú","4,5 ","Estadounidense, Bar","Dardignac 0192, Santiago","-33.432992999999996","-70.633566","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3192360-Reviews-Bocanariz-Santiago_Santiago_Metropolitan_Region.html","6.565 opiniones","Bar de vinos, Chilena$$ - $$$Menú","4,5 ","$19.350 - $54.180","Avenida Jose Victorino Lastarria 276, Santiago","-33.43840890452421","-70.64115126602805","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d3747156-Reviews-Plaza_Victoria-Santiago_Santiago_Metropolitan_Region.html","103 opiniones","$$ - $$$","4,0 ","Almuerzo, Cena","Santa Isabel 052, Santiago","-33.44723573659768","-70.6312038769115","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d12997092-Reviews-Gracia_Tapas_Bar-Santiago_Santiago_Metropolitan_Region.html","66 opiniones","Española, Bar$$ - $$$","4,0 ","$3.870 - $23.994","Isidora Goyenechea 3000, Santiago","-33.414263615558006","-70.59851463613022","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d940625-Reviews-Restaurant_Japon-Santiago_Santiago_Metropolitan_Region.html","575 opiniones","Japonesa, Asiática$$ - $$$","4,5 ","$11.610 - $46.440","Barón Pierre de Coubertin 39, Santiago","-33.44025839339467","-70.63504465296958","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d13131107-Reviews-Karai_by_Mitsuharu-Santiago_Santiago_Metropolitan_Region.html","198 opiniones","Japonesa, Peruana$$$$","4,5 ","$15.480 - $77.399","Isidora Goyenechea No 3000, Santiago","-33.414263615558006","-70.59851463613022","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d8322281-Reviews-La_Cuisine-Santiago_Santiago_Metropolitan_Region.html","276 opiniones","Francesa, Europea$$ - $$$Menú","4,5 ","$9.288 - $19.350","General Flores 218, Santiago","-33.426410311414344","-70.6200274848808","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d8726920-Reviews-040_Restaurante-Santiago_Santiago_Metropolitan_Region.html","587 opiniones","Mariscos, Contemporánea$$$$Menú","4,5 ","Mariscos, Contemporánea, Fusión","Antonia Lopez de Bello 040, Santiago","-33.432062689422374","-70.63551165528881","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d807978-Reviews-Pinpilinpausha-Santiago_Santiago_Metropolitan_Region.html","1.119 opiniones","Mariscos, Mediterránea$$$$Menú","4,5 ","Mariscos, Mediterránea, Española","Avenida Isidora Goyenechea 2900, Santiago","-33.413932605026424","-70.6018369926424","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d1084336-Reviews-Matsuri-Santiago_Santiago_Metropolitan_Region.html","503 opiniones","Japonesa, Sushi$$$$Menú","4,5 ","$19.350 - $61.920","Presidente Kennedy Avenue #4601, Santiago","-33.40432156921942","-70.58346938894366","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d14091125-Reviews-Krossbar_Orrego_Luco-Santiago_Santiago_Metropolitan_Region.html","356 opiniones","Bar, Pub$$ - $$$Menú","4,5 ","Bar, Pub, Chilena","Orrego Luco 066, Santiago","-33.42263531946442","-70.61252975105306","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d5264083-Reviews-Saffron_Indian_Delicacies-Santiago_Santiago_Metropolitan_Region.html","243 opiniones","Bar, Contemporánea$$ - $$$Menú","4,5 ","$12.384 - $30.186","Avenida Nueva Costanera 3664, Santiago","-33.4022321837967","-70.59846250814024","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d7104753-Reviews-Barrica_94-Santiago_Santiago_Metropolitan_Region.html","2.085 opiniones","Latina, Mariscos$$ - $$$","4,5 ","$7.740 - $23.220","Bellavista 052 Local 94 , Patio Bellavista, Santiago","-33.43466694809283","-70.63508536011886","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d11849726-Reviews-Sabor_y_Aroma_Restaurante-Santiago_Santiago_Metropolitan_Region.html","285 opiniones","Japonesa, Peruana$$ - $$$","4,5 ","$19.350 - $50.310","Av. Raúl Labbé #12559, Santiago","-33.36532156953654","-70.5157631257142","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d968127-Reviews-Restaurant_Bristol-Santiago_Santiago_Metropolitan_Region.html","291 opiniones","Chilena$$$$Menú","4,5 ","$19.350 - $77.399","Alameda 816, Santiago","-33.44680997778298","-70.6643000693923","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d12346269-Reviews-Bao_Bar-Santiago_Santiago_Metropolitan_Region.html","226 opiniones","Bar, Internacional$$ - $$$","4,5 ","Bar, Internacional, Española","Av. Manuel Montt 925, Santiago","-33.436479310577624","-70.61624024966808","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d6546923-Reviews-Catae_Restaurant-Santiago_Santiago_Metropolitan_Region.html","282 opiniones","Mediterránea, Chilena$$$$","4,5 ","Mediterránea, Chilena, Internacional","Avenida Presidente Kennedy 4700, Santiago","-24.697319999999934","-48.005679999999984","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d800731-Reviews-Le_due_torri-Santiago_Santiago_Metropolitan_Region.html","356 opiniones","Italiana, Mariscos$$$$Menú","4,5 ","$19.350 - $77.399","Borde Rio, Santiago","-33.38181999999995","-70.58020999999997","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d970230-Reviews-Baco_Vino_y_Bistro-Santiago_Santiago_Metropolitan_Region.html","2.787 opiniones","Bar de vinos, Chilena$$ - $$$","4,5 ","NA","Nueva de Lyon 113, Santiago","-33.420601903262835","-70.61083282416939","2020-01-13"
"https://www.tripadvisor.cl/Restaurant_Review-g294305-d929353-Reviews-Casa_Bosque-Santiago_Santiago_Metropolitan_Region.html","1.002 opiniones","Parrilla$$ - $$$Menú","4,5 ","$21.672 - $34.830","Camino Al Volcan 16829, Santiago","-33.583802253413296","-70.39737211068926","2020-01-13"
