name;type;rating;lat;lon;commune
Cerro San Cristóbal;Hill;4.5;-33.43072577;-70.63629062;Recoleta
Sky Costanera;Building;4.5;-33.41640251;-70.60702322;Providencia
Cerro Santa Lucía;Hill;4.5;-33.44057;-70.64805;Santiago
Casa Museo La Chascona;Museum;4.5;-33.4311958;-70.6345385;Providencia
Barrio Lastarria;Neighborhood;4.5;-33.4388134;-70.6411509;Santiago
Parque Bicentenario;Park;4.5;-33.39917042;-70.60107428;Vitacura
Parque Araucano;Park;4.5;-33.40529437;-70.57752863;Las Condes
Teleférico Santiago;Cable car;4.5;-33.41548464;-70.61724646;Providencia
Museo Chileno de Arte Precolombino;Museum;4.5;-33.43866039;-70.65244624;Santiago
Museo de la Memoria y los Derechos Humanos;Museum;4.5;-33.44037921;-70.67984854;Santiago
Catedral Metropolitana;Church;4.5;-33.43852;-70.65123;Santiago
Parque Arauco;Park;4.5;-33.40198478;-70.58031542;Las Condes
La Moneda;Building;4.5;-33.44417438;-70.67008771;Santiago
Barrio Italia;Neighborhood;4.5;-33.44432193;-70.62568705;Providencia
Parque Metropolitano de Santiago - Parquemet;Park;4.5;-33.43072577;-70.63629062;Recoleta
Parque Quinta Normal;Park;4.5;-33.44013361;-70.67998567;Santiago
Plaza de Armas;Square;4;-33.43852;-70.65123;Santiago
Museo Nacional de Historia Natural;Museum;4.5;-33.44013361;-70.67998567;Santiago
Santuario de la Inmaculada Concepcion;Church;4.5;-33.42363;-70.63402;Recoleta
Isidora Goyenechea;Neighborhood;4.5;-33.4142897;-70.59854978;Las Condes
Museo Violeta Parra;Museum;4.5;-33.4387759;-70.63484117;Santiago
La Vega Central;Market;4;-33.4282101;-70.64836336;Recoleta
Museo Histórico Nacional;Museum;4;-33.43726469;-70.65062338;Santiago
Teatro Municipal de Santiago;Theater;4.5;-33.44061574;-70.64796407;Santiago
Zoológico Nacional de Chile;Zoo;4;-33.43089906;-70.63615541;Providencia
Cerro Manquehue;Hill;4.5;-33.38835427;-70.57510085;Vitacura
Cementerio General;Cemetery;4.5;-33.43229818;-70.65163412;Santiago
Museo Nacional de Bellas Artes;Museum;4;-33.43605932;-70.64336092;Santiago
Parque O'Higgins;Park;4;-33.46059102;-70.65638464;Santiago
Plaza Ñuñoa;Square;4.5;-33.45429553;-70.593669;Ñuñoa
Biblioteca Nacional;Library;4.5;-33.44264948;-70.64576872;Santiago
Plaza de la Aviación;Square;4;-33.43120269;-70.6084286;Providencia
Iglesia de La Merced;Church;4.5;-33.43809915;-70.64695548;Santiago
Teatro Municipal de Las Condes;Theater;4.5;-33.41658491;-70.5957053;Las Condes
Plaza de La Constitución;Square;4;-33.442173;-70.6533705;Santiago
Paseo Ahumada;Neighborhood;4;-33.4691;-70.64197;Santiago
Museo Postal;Museum;4;-33.43852;-70.65123;Santiago
Jardin Japones;Garden;4;-33.41764;-70.61428;Providencia
Museos Ralli;Museum;4.5;-33.39709058;-70.59183663;Vitacura
Museo Ferroviario de Santiago;Museum;4;-33.44394;-70.68418;Santiago
Mercado Tirso de Molina;Market;4;-33.43337893;-70.64513919;Recoleta
Centro Artesanal Santa Lucia;Market;4;-33.44344002;-70.64317;Santiago
Museo Palacio Cousiño;Museum;4.5;-33.45192319;-70.65713959;Santiago
Museo de Artes Visuales;Museum;4;-33.43769811;-70.64097444;Santiago
Londres 38;Museum;4;-33.44431807;-70.64818161;Santiago
Parque de Los Reyes;Park;4;-33.42785377;-70.67321056;Santiago
Barrio Concha y Toro;Neighborhood;4;-33.44550449;-70.67054926;Santiago
Casa Colorada;Museum;4;-33.43841201;-70.64947641;Santiago
Museo Historico y Militar de Chile;Museum;4.5;-33.45635887;-70.65646381;Santiago
Iglesia San Vicente de Ferrer de Los Domínicos;Church;4;-33.40948;-70.56951;Las Condes
Museo de la Moda;Museum;4;-33.39819261;-70.5861886;Vitacura
Mercado Drugstore;Market;4;-33.42253028;-70.61108521;Providencia
Paseo Bulnes;Neighborhood;4;-33.44680998;-70.66430007;Santiago
Biblioteca de Santiago;Library;4.5;-33.44435753;-70.67949766;Santiago
Barrio Brasil;Neighborhood;4;-33.44003;-70.66488;Santiago
Corporación Cultural de las Condes;Market;4.5;-33.40762011;-70.56206687;Las Condes
Portal Fernández Concha;Building;4;-33.43852;-70.65123;Santiago
Selva Viva;Zoo;4;-33.40339;-70.57818;Las Condes
Puente Pío Nono;Neighborhood;3.5;-33.4326;-70.6332;Providencia
Parque Bustamante;Park;4;-33.44467;-70.62953;Providencia
Museo de Ciencia y Tecnología;Museum;3.5;-33.44394;-70.68418;Santiago
Plaza Baquedano (Plaza Italia);Square;4;-33.43701;-70.63439;Providencia
Teatro Nescafé de las Artes;Theater;4;-33.42859598;-70.62055437;Providencia
Nuestra Senora de la Divina Providencia;Church;4;-33.42737306;-70.6166751;Providencia
Anfiteatro Pablo Neruda;Theater;4.5;-33.42363;-70.63402;Recoleta
Museo Interactivo Audiovisual;Museum;4.5;-33.41435995;-70.59519803;Las Condes
Plaza Brasil;Square;4;-33.43565269;-70.66487061;Santiago
Palacio Fallabella;Building;4.5;-33.43198313;-70.60937112;Providencia
Iglesia de la Vera Cruz;Church;4;-33.43959992;-70.64123034;Santiago
Museo de la Solidaridad Salvador Allende;Museum;4;-33.45412143;-70.66719174;Santiago
Galeria Zona Franca;Gallery;3.5;-33.42129792;-70.60897647;Providencia
Caupolicán;Theater;4;-33.45604379;-70.6497039;Santiago
Teatro Pata de Cabra;Theater;5;-33.43024676;-70.63940712;Recoleta
Cervecería Spoh;Brewery;5;-33.46534445;-70.65177801;Santiago
Mercado Mastica;Market;4;-33.39917042;-70.60107428;Vitacura
Templo Maternidad de María;Church;4.5;-33.41651574;-70.62371131;Providencia
Monasterio Benedictino de Las Condes;Church;5;-33.38592342;-70.51692788;Las Condes
Alejandro Pacareu Galeria de Arte El Bosque;Gallery;5;-33.41553629;-70.60110084;Las Condes
Iglesia San Francisco de Borja;Church;4;-33.43935152;-70.63753502;Santiago
Museo Arqueológico de Santiago;Museum;4;-33.43769811;-70.64097444;Santiago
Teatro Oriente;Theater;4;-33.42449419;-70.61208905;Providencia
Iglesia San Ignacio de Loyola;Church;4.5;-33.44706331;-70.65685562;Santiago
Centro de las Artes 660;Theater;4.5;-33.40398594;-70.57337441;Las Condes
Urbn Stgo;Museum;4.5;-33.43674129;-70.64539803;Santiago
Iglesia de Los Santos Angeles Custodios;Church;4;-33.4358612;-70.63015411;Providencia
Plaza Libertad de Prensa;Square;5;-33.44575951;-70.66575117;Santiago
Iglesia Santa Ana;Church;4;-33.43805674;-70.65843097;Santiago
Pergola de las Flores Santa Maria;Market;4;-33.43153198;-70.65159357;Recoleta
Iglesia y Convento de La Recoleta Franciscana;Church;4;-33.43155182;-70.63286497;Providencia
Iglesia La Inmaculada Concepción;Church;4;-33.40208514;-70.59412942;Vitacura
Monumento Al General San Martín y a Los Ejércitos de la Independencia;Monument;4;-33.44281857;-70.64651725;Santiago
Museo del Presidente Pinochet;Museum;3.5;-33.40006248;-70.59385095;Vitacura
Calle Dieciocho;Neighborhood;3.5;-33.45115732;-70.6573344;Santiago
Iglesia de las Agustinas;Church;4;-33.4421213;-70.65200177;Santiago
San Ginés Teatro;Theater;4;-33.43263044;-70.63347896;Providencia
Persa Victor Manuel;Gallery;5;-33.47395964;-70.64058527;Santiago
Teatro Mori Bellavista;Theater;4.5;-33.43235447;-70.63484256;Providencia
Iglesia Padres Capuchinos - San Antonio de Padua;Church;4.5;-33.43920149;-70.66960296;Santiago
Parque de la Chilenidad;Park;4;-33.41632424;-70.60912908;Providencia
Intendencia de Santiago;Building;4;-33.44222276;-70.65330017;Santiago
Plaza Camilo Mori;Square;4.5;-33.4329691;-70.63474714;Providencia
Parque Almagro;Park;3.5;-33.45479;-70.65382;Santiago
Casa de lo Matta;Museum;4.5;-33.38806094;-70.54428843;Vitacura
Iglesia de la Gratitud Nacional;Church;4;-33.4480011;-70.66894193;Santiago
Barrio Franklin Huemul;Neighborhood;4;-33.47528459;-70.64183778;Santiago
Plaza de Armas de La Pintana;Square;4;-33.44380137;-70.64589221;Santiago
Iglesia Nuestra Sra. del Carmen;Church;3.5;-33.43092402;-70.62325978;Providencia
Parroquía San Ramón;Church;3.5;-33.42087333;-70.60559805;Providencia
Iglesia de Santa Filomena;Church;4.5;-33.42871;-70.64471;Recoleta
Museo Historico Carabineros de Chile;Museum;4.5;-33.442002;-70.6127715;Providencia
Parque Juan Pablo II;Park;5;-33.4001248;-70.56938484;Las Condes
Iglesia de San Lazaro;Church;4.5;-33.451938;-70.6604985;Santiago
Galeria de Arte Patricia Ready;Gallery;4.5;-33.39674275;-70.59820429;Vitacura
Teatro Universidad Católica;Theater;4;-33.45488888;-70.59413284;Ñuñoa
Teatro Cariola;Theater;3;-33.44824925;-70.65087042;Santiago
Anticuarios Galeria Los Pajaros;Gallery;5;-33.4203283;-70.60728226;Providencia
Parroquia Sagrado Corazón de Jesús;Church;4;-33.45023625;-70.6770985;Santiago
Parroquia Nuestra Señora de Andacollo;Church;4;-33.43210041;-70.66979277;Santiago
Estadio Victor Jara;Stadium;3;-33.45054179;-70.67491266;Santiago
Museo la Merced;Museum;4;-33.43874684;-70.64685623;Santiago
Plaza de Bolsillo;Square;3.5;-33.44253825;-70.65326627;Santiago
Parroquia Nuestra Señora de las Mercedes Los Castaños;Church;4;-33.3861404;-70.56275883;Vitacura
Firemen Building;Building;4;-33.43852;-70.65123;Santiago
Plop Galería;Gallery;4.5;-33.43739166;-70.6423924;Santiago
Teatro Mori Sala Vitacura;Theater;4;-33.39917042;-70.60107428;Vitacura
Catedral Castrense de Chile;Church;3.5;-33.42087333;-70.60559805;Providencia
Mezquita As-Salam;Church;3.5;-33.45059542;-70.59836243;Ñuñoa
Teatro Del CEAC UChile;Theater;4;-33.43724947;-70.63475758;Providencia
Plaza Gabriela Mistral;Square;4;-33.42363;-70.63402;Recoleta
Basilica de Nuestra Senora del Perpetuo Socorro;Church;4;-33.45875316;-70.67542042;Santiago
Plaza de Bolsillo Padre Mariano;Square;5;-33.42549863;-70.61662178;Providencia
Teatro Del Puente;Theater;4.5;-33.43516;-70.64092;Santiago
Coliseo;Theater;2.5;-33.44631472;-70.65384025;Santiago
La Dominical;Market;4.5;-33.41923886;-70.60799319;Providencia
Galeria Santiago Centro;Gallery;4;-33.44680998;-70.66430007;Santiago
Teatro Coca Cola City;Theater;4.5;-33.4331103;-70.63393637;Providencia
Iglesia Católica Apostólica Ortodoxa de la Santísima Virgen María;Church;4;-33.42432783;-70.61207792;Providencia
Teatro ICTUS;Theater;4.5;-33.43739166;-70.6423924;Santiago
Teatro de la Aurora;Theater;4.5;-33.44503943;-70.62550199;Providencia
Teatro Carrera;Theater;3.5;-33.44680998;-70.66430007;Santiago
Plaza Loreto Cousino;Square;4;-33.41401;-70.59216;Las Condes
Museo de Arte Popular Americano;Museum;4;-33.399;-70.65747;Recoleta
Capilla de Las Animas;Church;4;-33.4348349;-70.65585677;Santiago
Iglesia Ortodoxa Rusa de la Santísima Trinidad y la Stma Virgen de Kazán;Church;4;-33.45142553;-70.59601513;Ñuñoa
Portal Bulnes;Building;4.5;-33.43852;-70.65123;Santiago
Museo Taller;Museum;5;-33.44727335;-70.64374391;Santiago
Cementerio Católico de Santiago;Cemetery;3.5;-33.41157409;-70.63073336;Recoleta
Monasterio Agustinas de la Limpia Concepción;Church;4.5;-33.44637007;-70.63244949;Providencia
Teatro Nacional Chileno;Theater;5;-33.44408231;-70.65296761;Santiago
Estadio Municipal de las Condes;Stadium;4;-33.41134962;-70.53577984;Las Condes
